# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
node1;1;2021-04-27 00:03:50 UTC;lo;4.00;4.00;4.12;4.12;0.00;0.00;0.00
node1;1;2021-04-27 00:03:50 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:51 UTC;eth0;90.00;34.00;99.73;21.23;0.00;0.00;0.00
node1;1;2021-04-27 00:03:51 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:51 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:51 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:51 UTC;lo;8.00;8.00;18.35;18.35;0.00;0.00;0.00
node1;1;2021-04-27 00:03:51 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:52 UTC;eth0;8.00;1.00;2.51;0.07;0.00;0.00;0.00
node1;1;2021-04-27 00:03:52 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:52 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:52 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:52 UTC;lo;6.00;6.00;0.48;0.48;0.00;0.00;0.00
node1;1;2021-04-27 00:03:52 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:53 UTC;eth0;26.00;25.00;11.29;18.93;0.00;0.00;0.00
node1;1;2021-04-27 00:03:53 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:53 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:53 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:53 UTC;lo;15.00;15.00;18.81;18.81;0.00;0.00;0.00
node1;1;2021-04-27 00:03:53 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-27 00:03:54 UTC;eth0;49.00;14.00;54.05;3.32;0.00;0.00;0.00
node1;1;2021-04-27 00:03:54 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
