# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
an-sap-s-1;1;2021-04-23 22:00:20 UTC;eno1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:20 UTC;eno3;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:21 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:21 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:21 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:21 UTC;eno1;70356.00;3297.00;103646.98;234.43;0.00;0.00;0.00;8.49
an-sap-s-1;1;2021-04-23 22:00:21 UTC;eno3;2.00;0.00;0.36;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:22 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:22 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:22 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:24 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:25 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:25 UTC;eno3;3.00;0.00;0.70;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:25 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:25 UTC;eno1;61601.00;2756.00;90758.10;196.62;0.00;0.00;0.00;7.43
an-sap-s-2;1;2021-04-24 00:32:25 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:26 UTC;eno2;1.00;1.00;0.34;0.34;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:26 UTC;eno3;3.00;0.00;0.46;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:26 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:22 UTC;eno1;65648.00;3084.00;96667.69;219.26;0.00;0.00;0.00;7.92
an-sap-s-2;1;2021-04-24 00:32:26 UTC;eno1;72201.00;3205.00;106333.62;228.45;0.00;0.00;0.00;8.71
an-sap-s-2;1;2021-04-24 00:32:26 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:27 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:27 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:27 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:27 UTC;eno1;76217.00;3401.00;112241.00;242.33;0.00;0.00;0.00;9.19
an-sap-s-2;1;2021-04-24 00:32:27 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:28 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:28 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:28 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:28 UTC;eno1;69974.00;3126.00;103108.38;222.69;0.00;0.00;0.00;8.45
an-sap-s-1;1;2021-04-23 22:00:22 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:23 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:23 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:23 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:23 UTC;eno1;66751.00;3119.00;98279.43;221.79;0.00;0.00;0.00;8.05
an-sap-s-1;1;2021-04-23 22:00:23 UTC;eno3;5.00;0.00;1.06;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:24 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:24 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:24 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:24 UTC;eno1;68568.00;3265.00;100964.20;232.01;0.00;0.00;0.00;8.27
an-sap-s-2;1;2021-04-24 00:32:28 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:29 UTC;eno2;2.00;1.00;0.68;0.34;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:24 UTC;eno3;4.00;0.00;0.80;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:25 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:29 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:25 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:25 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:25 UTC;eno1;70782.00;3378.00;104188.21;240.06;0.00;0.00;0.00;8.54
an-sap-s-1;1;2021-04-23 22:00:25 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:26 UTC;lo;13.00;13.00;1.61;1.61;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:26 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:26 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:26 UTC;eno1;54335.00;2591.00;80018.89;184.10;0.00;0.00;0.00;6.56
an-sap-s-1;1;2021-04-23 22:00:26 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:27 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:29 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:29 UTC;eno1;67071.00;2973.00;98813.06;211.81;0.00;0.00;0.00;8.09
an-sap-s-2;1;2021-04-24 00:32:29 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:30 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:30 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:30 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:30 UTC;eno1;74750.00;3322.00;110092.29;236.65;0.00;0.00;0.00;9.02
an-sap-s-2;1;2021-04-24 00:32:30 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:31 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:31 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:31 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:27 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:31 UTC;eno1;52890.00;2404.00;77871.82;171.40;0.00;0.00;0.00;6.38
an-sap-s-2;1;2021-04-24 00:32:31 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:32 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:32 UTC;eno3;1.00;0.00;0.06;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:32 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:32 UTC;eno1;49971.00;2273.00;73575.42;162.21;0.00;0.00;0.00;6.03
an-sap-s-2;1;2021-04-24 00:32:32 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:27 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:33 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:33 UTC;eno3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:33 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:33 UTC;eno1;40841.00;1860.00;60148.17;132.40;0.00;0.00;0.00;4.93
an-sap-s-1;1;2021-04-23 22:00:27 UTC;eno1;62012.00;2880.00;91298.03;204.80;0.00;0.00;0.00;7.48
an-sap-s-1;1;2021-04-23 22:00:27 UTC;eno3;1.00;0.00;0.06;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:28 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:28 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:28 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:28 UTC;eno1;49957.00;2374.00;73574.28;168.71;0.00;0.00;0.00;6.03
an-sap-s-1;1;2021-04-23 22:00:28 UTC;eno3;1.00;0.00;0.30;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:29 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:33 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:29 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:29 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:29 UTC;eno1;38654.00;1841.00;56926.16;130.82;0.00;0.00;0.00;4.66
an-sap-s-2;1;2021-04-24 00:32:34 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:29 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:30 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:30 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:30 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:30 UTC;eno1;55072.00;2615.00;81093.50;185.84;0.00;0.00;0.00;6.64
an-sap-s-1;1;2021-04-23 22:00:30 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:31 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:31 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:34 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:34 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:34 UTC;eno1;47041.00;2087.00;69277.82;148.71;0.00;0.00;0.00;5.68
an-sap-s-2;1;2021-04-24 00:32:34 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:35 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:35 UTC;eno3;2.00;0.00;0.40;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:35 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:35 UTC;eno1;79151.00;3524.00;116538.60;251.16;0.00;0.00;0.00;9.55
an-sap-s-2;1;2021-04-24 00:32:35 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:31 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:36 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:36 UTC;eno3;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:36 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:36 UTC;eno1;74408.00;3308.00;109556.80;235.65;0.00;0.00;0.00;8.97
an-sap-s-2;1;2021-04-24 00:32:36 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:37 UTC;eno2;0.00;1.00;0.00;0.34;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:37 UTC;eno3;2.00;0.00;0.12;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:37 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:37 UTC;eno1;75516.00;3357.00;111168.87;239.23;0.00;0.00;0.00;9.11
an-sap-s-2;1;2021-04-24 00:32:37 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:38 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:31 UTC;eno1;64580.00;3078.00;95058.36;218.75;0.00;0.00;0.00;7.79
an-sap-s-2;1;2021-04-24 00:32:38 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:38 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:38 UTC;eno1;54715.00;2427.00;80556.69;172.85;0.00;0.00;0.00;6.60
an-sap-s-2;1;2021-04-24 00:32:38 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:39 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:31 UTC;eno3;3.00;0.00;0.70;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:32 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:32 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:32 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:39 UTC;eno3;2.00;0.00;0.12;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:39 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:39 UTC;eno1;79535.00;3546.00;117076.81;252.71;0.00;0.00;0.00;9.59
an-sap-s-2;1;2021-04-24 00:32:39 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:40 UTC;eno2;3.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:40 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:40 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:40 UTC;eno1;80641.00;3630.00;118688.74;258.46;0.00;0.00;0.00;9.72
an-sap-s-2;1;2021-04-24 00:32:40 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:41 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:41 UTC;eno3;5.00;0.00;1.41;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-23 22:00:32 UTC;eno1;71570.00;3440.00;105267.29;245.54;0.00;0.00;0.00;8.62
an-sap-s-2;1;2021-04-24 00:32:41 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:41 UTC;eno1;74058.00;3470.00;109020.75;246.77;0.00;0.00;0.00;8.93
an-sap-s-2;1;2021-04-24 00:32:41 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:42 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:42 UTC;eno3;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:42 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:42 UTC;eno1;78415.00;3572.00;115463.91;254.26;0.00;0.00;0.00;9.46
an-sap-s-2;1;2021-04-24 00:32:42 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:43 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:43 UTC;eno3;1.00;0.00;0.06;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:43 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-23 22:00:32 UTC;eno3;4.00;0.00;0.80;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 00:32:43 UTC;eno1;60568.00;2744.00;89150.55;195.31;0.00;0.00;0.00;7.30
an-sap-s-2;1;2021-04-24 00:32:43 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:44 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:44 UTC;eno3;3.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:44 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 00:32:44 UTC;eno1;58011.00;2655.00;85390.98;188.99;0.00;0.00;0.00;7.00
an-sap-s-2;1;2021-04-24 00:32:44 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
