# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
an-sap-s-2;1;2021-04-24 18:48:49 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:32 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:49 UTC;eno3;2.00;0.00;0.64;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:49 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:32 UTC;eno1;60234.00;2937.00;88615.93;208.51;0.00;0.00;0.00;7.26
an-sap-s-2;1;2021-04-24 18:48:49 UTC;eno1;53486.00;3442.00;76614.96;288.73;0.00;0.00;0.00;6.28
an-sap-s-1;1;2021-04-24 18:45:32 UTC;eno3;3.00;0.00;0.45;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-24 18:45:33 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:49 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:33 UTC;eno2;2.00;0.00;0.66;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:50 UTC;eno2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:50 UTC;eno3;3.00;0.00;0.74;0.00;0.00;0.00;1.00;0.00
an-sap-s-1;1;2021-04-24 18:45:33 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:33 UTC;eno1;55490.00;2698.00;81634.18;191.56;0.00;0.00;0.00;6.69
an-sap-s-1;1;2021-04-24 18:45:33 UTC;eno3;6.00;0.00;1.75;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:48:50 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:34 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:34 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:34 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:34 UTC;eno1;58408.00;2859.00;85930.55;202.94;0.00;0.00;0.00;7.04
an-sap-s-1;1;2021-04-24 18:45:34 UTC;eno3;1.00;0.00;0.30;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:35 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:35 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:35 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:35 UTC;eno1;53295.00;2591.00;78411.47;183.96;0.00;0.00;0.00;6.42
an-sap-s-2;1;2021-04-24 18:48:50 UTC;eno1;55425.00;3546.00;79376.23;297.79;0.00;0.00;0.00;6.50
an-sap-s-1;1;2021-04-24 18:45:35 UTC;eno3;6.00;0.00;1.71;0.00;0.00;0.00;1.00;0.00
an-sap-s-2;1;2021-04-24 18:48:50 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:36 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:51 UTC;eno2;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:51 UTC;eno3;2.00;0.00;0.68;0.00;0.00;0.00;0.00;0.00
an-sap-s-1;1;2021-04-24 18:45:36 UTC;eno2;1.00;0.00;0.34;0.00;0.00;0.00;0.00;0.00
an-sap-s-2;1;2021-04-24 18:48:51 UTC;eno4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
