# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
osd1;1;2021-04-26 09:59:54 UTC;352.00;352.00;0.00;131072.00;0.00
# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
osd1;1;2021-04-26 09:59:55 UTC;430.00;424.00;6.00;155648.00;47.00
osd1;1;2021-04-26 09:59:56 UTC;402.00;400.00;2.00;139264.00;24.00
osd1;1;2021-04-26 09:59:57 UTC;342.00;329.00;13.00;114688.00;1319.00
node1;1;2021-04-26 09:58:43 UTC;6.00;0.00;6.00;0.00;50.00
osd1;1;2021-04-26 09:59:58 UTC;895.00;895.00;0.00;319488.00;0.00
node1;1;2021-04-26 09:58:44 UTC;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:59 UTC;739.00;733.00;6.00;253952.00;50.00
osd1;1;2021-04-26 10:00:00 UTC;445.00;439.00;6.00;155648.00;167.00
osd1;1;2021-04-26 10:00:01 UTC;505.00;499.00;6.00;172032.00;55.00
node1;1;2021-04-26 09:58:45 UTC;6.00;0.00;6.00;0.00;47.00
osd1;1;2021-04-26 10:00:02 UTC;951.00;945.00;6.00;328320.00;178.00
node1;1;2021-04-26 09:58:46 UTC;15.00;0.00;15.00;0.00;1128.00
osd1;1;2021-04-26 10:00:03 UTC;680.00;661.00;19.00;236928.00;1654.00
osd1;1;2021-04-26 10:00:04 UTC;748.00;727.00;21.00;253952.00;371.00
osd1;1;2021-04-26 10:00:05 UTC;388.00;382.00;6.00;137216.00;47.00
osd1;1;2021-04-26 10:00:06 UTC;631.00;631.00;0.00;223232.00;0.00
node1;1;2021-04-26 09:58:47 UTC;6.00;0.00;6.00;0.00;56.00
osd1;1;2021-04-26 10:00:07 UTC;710.00;704.00;6.00;253952.00;47.00
osd1;1;2021-04-26 10:00:08 UTC;735.00;730.00;5.00;262144.00;1256.00
osd1;1;2021-04-26 10:00:09 UTC;413.00;407.00;6.00;143360.00;47.00
